race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all,shown,field_shown
2025R5,Jeddah,STR,16,1,HARD-MEDIUM,[39],1,MEDIUM-HARD,[14],1,0,1,1,0,1,25,[25],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,DOO,17,1,HARD-HARD,[32],1,MEDIUM-HARD,[14],0,0,1,0,0,0,18,[18],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,HUL,18,1,HARD-MEDIUM,[33],1,MEDIUM-HARD,[14],1,0,1,1,0,1,19,[19],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,OCO,19,0,HARD,[],1,MEDIUM-HARD,[14],0,0,0,0,0,0,,,"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,BOR,20,0,HARD,[],1,MEDIUM-HARD,[14],0,0,0,0,0,0,,,"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R2,Shanghai,PIA,1,1,MEDIUM-HARD,[14],1,MEDIUM-HARD,[18],1,1,1,1,1,1,4,[4],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,RUS,2,1,MEDIUM-HARD,[14],1,MEDIUM-HARD,[18],1,1,1,1,1,1,4,[4],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,NOR,3,1,MEDIUM-HARD,[15],1,MEDIUM-HARD,[18],1,1,1,1,1,1,3,[3],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,VER,4,1,MEDIUM-HARD,[13],1,MEDIUM-HARD,[18],1,1,1,1,1,1,5,[5],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,HAM,5,2,MEDIUM-HARD-HARD,"[13, 37]",1,MEDIUM-HARD,[18],0,0,0,1,1,1,,,"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,LEC,6,1,MEDIUM-HARD,[15],1,MEDIUM-HARD,[18],1,1,1,1,1,1,3,[3],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,HAD,7,2,MEDIUM-HARD-HARD,"[12, 33]",1,MEDIUM-HARD,[18],0,0,0,1,1,1,,,"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,ANT,8,1,MEDIUM-HARD,[12],1,MEDIUM-HARD,[18],1,1,1,1,1,1,6,[6],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,TSU,9,3,MEDIUM-HARD-HARD-MEDIUM,"[11, 35, 46]",1,MEDIUM-HARD,[18],0,0,0,0,0,0,,,"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,ALB,10,1,MEDIUM-HARD,[20],1,MEDIUM-HARD,[18],1,1,1,1,1,1,2,[2],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,OCO,11,1,MEDIUM-HARD,[11],1,MEDIUM-HARD,[18],1,1,1,1,1,1,7,[7],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,HUL,12,1,MEDIUM-HARD,[20],1,MEDIUM-HARD,[18],1,1,1,1,1,1,2,[2],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,STR,14,1,HARD-MEDIUM,[36],1,MEDIUM-HARD,[18],1,0,1,1,0,1,18,[18],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,SAI,15,1,MEDIUM-HARD,[17],1,MEDIUM-HARD,[18],1,1,1,1,1,1,1,[1],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,GAS,16,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[18],1,1,1,1,1,1,8,[8],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,BEA,17,1,HARD-MEDIUM,[26],1,MEDIUM-HARD,[18],1,0,1,1,0,1,8,[8],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,DOO,18,1,MEDIUM-HARD,[11],1,MEDIUM-HARD,[18],1,1,1,1,1,1,7,[7],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,BOR,19,1,HARD-HARD,[26],1,MEDIUM-HARD,[18],0,0,1,0,0,0,8,[8],"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R2,Shanghai,LAW,20,2,HARD-MEDIUM-HARD,"[18, 30]",1,MEDIUM-HARD,[18],0,0,0,1,0,1,,,"[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]","[""MEDIUM-HARD"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""MEDIUM-MEDIUM-HARD"", ""MEDIUM-SOFT""]"
2025R4,Sakhir,PIA,1,2,SOFT-MEDIUM-MEDIUM,"[14, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,0,0,1,1,"[1, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,LEC,2,2,MEDIUM-MEDIUM-HARD,"[17, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,0,0,1,4,"[4, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,RUS,3,2,SOFT-MEDIUM-SOFT,"[13, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,1,1,0,"[0, 1]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,GAS,4,2,SOFT-MEDIUM-HARD,"[10, 28]",2,SOFT-HARD-HARD,"[13, 33]",0,0,1,1,1,1,3,"[3, 5]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
2025R4,Sakhir,ANT,5,3,SOFT-MEDIUM-SOFT-SOFT,"[12, 27, 32]",2,SOFT-HARD-HARD,"[13, 33]",0,0,0,0,0,1,,,"[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]","[""SOFT-HARD-HARD"", ""SOFT-HARD-SOFT"", ""SOFT-MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""SOFT-MEDIUM-HARD""]"
